time,event,task_id,veh_id,info
270.0,generated,dep_39f21197,25,"{""kind"": ""dependent"", ""num_subtasks"": 8, ""deadline"": 1603.2552967764652}"
273.0,generated,ind_2850c7c7,25,"{""kind"": ""independent"", ""size"": 316059, ""cpu"": 49605140.92945189, ""deadline"": 281.09219944309376}"
275.0,generated,ind_29229bb0,24,"{""kind"": ""independent"", ""size"": 76423, ""cpu"": 84186038.92462033, ""deadline"": 425.46552359620625}"
277.0,generated,ind_eec03269,16,"{""kind"": ""independent"", ""size"": 332813, ""cpu"": 60137822.71149109, ""deadline"": 470.2326800270015}"
281.0,generated,ind_c438a386,24,"{""kind"": ""independent"", ""size"": 488180, ""cpu"": 61857163.498020306, ""deadline"": 461.92629041418326}"
282.0,generated,ind_682dc574,28,"{""kind"": ""independent"", ""size"": 212219, ""cpu"": 30344782.31284783, ""deadline"": 288.30271622752224}"
293.0,generated,ind_631df1b1,17,"{""kind"": ""independent"", ""size"": 382124, ""cpu"": 87429587.10357755, ""deadline"": 479.6766726071059}"
293.0,generated,ind_9afbcadb,25,"{""kind"": ""independent"", ""size"": 66213, ""cpu"": 57163632.289508, ""deadline"": 491.89745909880196}"
296.0,generated,ind_bdd11e48,22,"{""kind"": ""independent"", ""size"": 179839, ""cpu"": 98811597.94847497, ""deadline"": 481.8317087947813}"
298.0,generated,dep_08587924,20,"{""kind"": ""dependent"", ""num_subtasks"": 6, ""deadline"": 320.70269670784796}"
304.0,generated,ind_a49b5233,25,"{""kind"": ""independent"", ""size"": 432623, ""cpu"": 64548038.847491495, ""deadline"": 491.67212447610075}"
